LED3_2,,LED3_3,,LED3_4,,LED3_5,,LED3_6,,LED3_7,,LED3_8,,LED3_9,,LED3_10,,LED3_11,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
232.0299988,0.1017345712,232.0299988,0.2034691423,232.0299988,0.3052037358,232.0299988,0.5086728334,232.0299988,17.70181656,232.0299988,6.154942036,232.0299988,0.3560710251,232.0299988,0.3052037358,232.0299988,0.3560710251,232.0299988,0.6612747312,
232.9600067,0.1017345712,232.9600067,0.2034691423,232.9600067,0.1526018679,232.9600067,0.4578055739,232.9600067,19.02436447,232.9600067,6.714481831,232.9600067,0.3052037358,232.9600067,0.2543364167,232.9600067,0.4578055739,232.9600067,0.6612747312,
234.0599976,0.1017345712,234.0599976,0.1526018679,234.0599976,0.2034691423,234.0599976,0.6104074717,234.0599976,18.82089615,234.0599976,6.20580864,234.0599976,0.2034691423,234.0599976,0.2034691423,234.0599976,0.5086728334,234.0599976,0.5086728334,
235,0.1017345712,235,0.2034691423,235,0.3560710251,235,0.5086728334,235,19.73650742,235,6.714481831,235,0.2543364167,235,0.3560710251,235,0.4578055739,235,0.7630093098,
235.9299927,0,235.9299927,0.1526018679,235.9299927,0.2034691423,235.9299927,0.6104074717,235.9299927,19.43130493,235.9299927,6.256676197,235.9299927,0.2034691423,235.9299927,0.3560710251,235.9299927,0.3052037358,235.9299927,0.6612747312,
237.0299988,0.05086728558,237.0299988,0.2034691423,237.0299988,0.3560710251,237.0299988,0.5086728334,237.0299988,19.32956886,237.0299988,7.426623821,237.0299988,0.2034691423,237.0299988,0.3560710251,237.0299988,0.5086728334,237.0299988,0.6104074717,
237.9600067,0.1017345712,237.9600067,0.2543364167,237.9600067,0.2543364167,237.9600067,0.5086728334,237.9600067,18.56656075,237.9600067,7.172287464,237.9600067,0.4069382846,237.9600067,0.3560710251,237.9600067,0.4578055739,237.9600067,0.8138765693,
239.0599976,0.05086728558,239.0599976,0.1526018679,239.0599976,0.2034691423,239.0599976,0.5595401525,239.0599976,19.63477135,239.0599976,7.172287464,239.0599976,0.2543364167,239.0599976,0.4578055739,239.0599976,0.4069382846,239.0599976,0.6104074717,
240,0.1017345712,240,0.1526018679,240,0.3560710251,240,0.5086728334,240,19.99084473,240,6.511012554,240,0.2543364167,240,0.2543364167,240,0.4578055739,240,0.7121420503,
240.9299927,0.1017345712,240.9299927,0.2034691423,240.9299927,0.3052037358,240.9299927,0.6104074717,240.9299927,21.10992432,240.9299927,6.612747669,240.9299927,0.3560710251,240.9299927,0.4578055739,240.9299927,0.3052037358,240.9299927,0.8647438884,
242.0299988,0.1526018679,242.0299988,0.1017345712,242.0299988,0.3052037358,242.0299988,0.5086728334,242.0299988,22.78854561,242.0299988,6.917951107,242.0299988,0.3560710251,242.0299988,0.3560710251,242.0299988,0.4578055739,242.0299988,0.8647438884,
242.9600067,0.1017345712,242.9600067,0.2034691423,242.9600067,0.2543364167,242.9600067,0.4069382846,242.9600067,21.61859703,242.9600067,7.57922554,242.9600067,0.1017345712,242.9600067,0.3560710251,242.9600067,0.3560710251,242.9600067,0.5086728334,
244.0599976,0.2543364167,244.0599976,0.2034691423,244.0599976,0.1526018679,244.0599976,0.4578055739,244.0599976,22.27987099,244.0599976,7.019685745,244.0599976,0.3052037358,244.0599976,0.3560710251,244.0599976,0.4069382846,244.0599976,0.8647438884,
245,0.1017345712,245,0.05086728558,245,0.2543364167,245,0.7121420503,245,21.9746685,245,7.680960655,245,0.1526018679,245,0.4578055739,245,0.4069382846,245,0.9156111479,
245.9299927,0.05086728558,245.9299927,0.1526018679,245.9299927,0.3052037358,245.9299927,0.4578055739,245.9299927,22.38160515,245.9299927,6.917951107,245.9299927,0.3052037358,245.9299927,0.3052037358,245.9299927,0.4578055739,245.9299927,1.119080305,
247.0299988,0.1526018679,247.0299988,0.2543364167,247.0299988,0.3560710251,247.0299988,0.7121420503,247.0299988,23.24634933,247.0299988,7.477491379,247.0299988,0.2543364167,247.0299988,0.5595401525,247.0299988,0.5595401525,247.0299988,0.9156111479,
247.9600067,0.1017345712,247.9600067,0.3052037358,247.9600067,0.2543364167,247.9600067,0.7121420503,247.9600067,22.94114685,247.9600067,7.935296535,247.9600067,0.3560710251,247.9600067,0.3052037358,247.9600067,0.4578055739,247.9600067,0.9664784074,
249.0599976,0.05086728558,249.0599976,0.2034691423,249.0599976,0.3052037358,249.0599976,0.7121420503,249.0599976,22.73767853,249.0599976,7.630093098,249.0599976,0.4069382846,249.0599976,0.5086728334,249.0599976,0.2543364167,249.0599976,0.8647438884,
250,0.1017345712,250,0.1526018679,250,0.2034691423,250,0.6612747312,250,23.95849228,250,7.680960655,250,0.3052037358,250,0.5595401525,250,0.5595401525,250,0.6612747312,
250.9299927,0.05086728558,250.9299927,0.2034691423,250.9299927,0.2543364167,250.9299927,0.5086728334,250.9299927,24.77236748,250.9299927,8.24050045,250.9299927,0.3560710251,250.9299927,0.4578055739,250.9299927,0.6104074717,250.9299927,0.8138765693,
252.0299988,0.1526018679,252.0299988,0.2034691423,252.0299988,0.3560710251,252.0299988,0.4578055739,252.0299988,25.12843895,252.0299988,8.342235565,252.0299988,0.3560710251,252.0299988,0.5086728334,252.0299988,0.6104074717,252.0299988,0.6104074717,
252.9600067,0.1526018679,252.9600067,0.1017345712,252.9600067,0.3052037358,252.9600067,0.4578055739,252.9600067,25.94231606,252.9600067,8.393102646,252.9600067,0.3560710251,252.9600067,0.5086728334,252.9600067,0.6104074717,252.9600067,0.7630093098,
254.0599976,0.1017345712,254.0599976,0.1526018679,254.0599976,0.2543364167,254.0599976,0.6104074717,254.0599976,28.33307838,254.0599976,8.037031174,254.0599976,0.4578055739,254.0599976,0.5086728334,254.0599976,0.4578055739,254.0599976,1.068212986,
255,0.1017345712,255,0.2034691423,255,0.3560710251,255,0.6104074717,255,28.18047714,255,8.494836807,255,0.3560710251,255,0.6104074717,255,0.6104074717,255,0.8647438884,
255.9299927,0.1526018679,255.9299927,0.3052037358,255.9299927,0.3052037358,255.9299927,0.6104074717,255.9299927,27.06139755,255.9299927,9.003509521,255.9299927,0.4069382846,255.9299927,0.4578055739,255.9299927,0.4578055739,255.9299927,0.8138765693,
257.0299988,0.05086728558,257.0299988,0.2543364167,257.0299988,0.3560710251,257.0299988,0.7630093098,257.0299988,29.35042381,257.0299988,9.257846832,257.0299988,0.2034691423,257.0299988,0.4578055739,257.0299988,0.5595401525,257.0299988,1.017345667,
257.9599915,0.05086728558,257.9599915,0.3560710251,257.9599915,0.5086728334,257.9599915,0.8138765693,257.9599915,29.60476112,257.9599915,9.206978798,257.9599915,0.3560710251,257.9599915,0.5086728334,257.9599915,0.5086728334,257.9599915,0.5595401525,
259.0599976,0.2034691423,259.0599976,0.2543364167,259.0599976,0.4069382846,259.0599976,0.8138765693,259.0599976,37.13312149,259.0599976,10.12259007,259.0599976,0.3560710251,259.0599976,0.4578055739,259.0599976,0.5595401525,259.0599976,1.322549462,
260,0.05086728558,260,0.3052037358,260,0.3560710251,260,1.068212986,260,39.77821732,260,12.56421947,260,0.9156111479,260,0.5086728334,260,0.8647438884,260,1.220814943,
260.9299927,0.05086728558,260.9299927,0.2034691423,260.9299927,0.5595401525,260.9299927,1.576885939,260.9299927,51.9355011,260.9299927,15.2601862,260.9299927,0.8138765693,260.9299927,0.7121420503,260.9299927,1.322549462,260.9299927,1.729487777,
262.0299988,0.1017345712,262.0299988,0.4578055739,262.0299988,1.068212986,262.0299988,2.441629887,262.0299988,80.67552185,262.0299988,21.92380142,262.0299988,1.119080305,262.0299988,1.52601862,262.0299988,1.983824134,262.0299988,2.543364525,
262.9599915,0,262.9599915,0.7630093098,262.9599915,1.424284101,262.9599915,3.713311911,262.9599915,120.6063385,262.9599915,32.35159302,262.9599915,1.576885939,262.9599915,1.627753139,262.9599915,3.00116992,262.9599915,3.509842873,
264.0599976,0.1526018679,264.0599976,0.9156111479,264.0599976,2.187293291,264.0599976,5.391932487,264.0599976,190.3453979,264.0599976,52.64764404,264.0599976,2.746833563,264.0599976,3.10290432,264.0599976,3.713311911,264.0599976,5.442799568,
265,0.1017345712,265,1.373416781,265,2.594231606,265,7.986163616,265,272.8521118,265,75.89398956,265,3.255506277,265,4.730657578,265,5.798870564,265,7.782694817,
265.9299927,0.05086728558,265.9299927,1.780354977,265.9299927,4.120250225,265.9299927,11.69947624,265.9299927,379.9277649,265.9299927,110.1276779,265.9299927,5.08672905,265.9299927,6.409277916,265.9299927,8.850908279,265.9299927,10.47866154,
267.0299988,0.05086728558,267.0299988,3.408108234,267.0299988,7.121419907,267.0299988,19.12610054,267.0299988,644.2341919,267.0299988,177.4250946,267.0299988,9.512182236,267.0299988,10.73299694,267.0299988,14.34457493,267.0299988,18.21048927,
267.9599915,0.2034691423,267.9599915,4.934126854,267.9599915,11.64860821,267.9599915,30.16430092,267.9599915,1000,267.9599915,283.8394775,267.9599915,14.24283981,267.9599915,16.12492943,267.9599915,23.90762329,267.9599915,29.96083069,
269.0599976,0.1017345712,269.0599976,8.393102646,269.0599976,18.92263031,269.0599976,52.08810043,269.0599976,1000,269.0599976,466.5038757,269.0599976,24.36543083,269.0599976,28.63828278,269.0599976,37.6417923,269.0599976,48.42565536,
270,0.05086728558,270,13.32722855,270,28.07874298,270,74.21537781,270,1000,270,707.0044556,270,35.20016479,270,40.94816589,270,59.15865707,270,74.4697113,
271.0700073,0.1017345712,271.0700073,20.19431305,271.0700073,44.5088768,271.0700073,120.6063385,271.0700073,1000,271.0700073,1000,271.0700073,57.17483139,271.0700073,67.80609131,271.0700073,94.10448456,271.0700073,116.7404251,
272,0.05086728558,272,28.53654861,272,63.38063812,272,174.3730621,272,1000,272,1000,272,81.18419647,272,100.7680969,272,133.5774994,272,170.9649506,
